Ciclo,FUTURES/FOREX (70.3%),CRYPTO (100%),FOREX (71.4%),FUTURES (68.5%),STOCK USA (19.3%),STOCK EU (25.3%)
T+10 (32-ANNI),6144g 6h 4m,8738g 3h 12m,6239g 39m,5985g 14h 54m,1686g 11h 2m,2210g 17h 56m
T+9 (16-ANNI),3072g 3h 2m,4369g 1h 36m,3119g 12h 19m,2992g 19h 27m,843g 5h 31m,1105g 8h 58m
T+8 (OTTENNALE),1536g 1h 31m,2184g 12h 48m,1559g 18h 9m,1496g 9h 43m,421g 14h 45m,552g 16h 29m
T+7 (QUADRIENNALE),768g 45m,1092g 6h 24m,779g 21h 4m,748g 4h 51m,210g 19h 22m,276g 8h 14m
T+6 (BIENNALE),384g 22m,546g 3h 12m,389g 22h 32m,374g 2h 25m,105g 9h 41m,138g 4h 7m
T+5 (ANNUALE),192g 11m,273g 1h 36m,194g 23h 16m,187g 1h 12m,52g 16h 50m,69g 2h 3m
T+4 (SEMESTRALE),96g 5m,136g 12h 48m,97g 11h 38m,93g 12h 36m,26g 8h 25m,34g 13h 1m
T+3 (TRIMESTRALE),48g 2m,68g 6h 24m,48g 17h 49m,46g 18h 18m,13g 4h 12m,17g 6h 30m
T+2 (MENSILE),24g 1m,34g 3h 12m,24g 8h 54m,23g 9h 9m,6g 14h 6m,8g 15h 15m
T+1 (BI-SETTIMANALE),12g,17g 1h 36m,12g 4h 27m,11g 16h 34m,3g 7h 3m,4g 7h 37m
T (SETTIMANALE),6g,8g 12h 48m,6g 2h 13m,5g 20h 17m,1g 15h 31m,2g 3h 48m
T-1 (3-5 GG),3g,4g 6h 24m,3g 1h 6m,2g 22h 8m,19h 45m,1g 1h 54m
T-2 (1-3 GG),1g 12h,2g 3h 12m,1g 12h 33m,1g 11h 4m,9h 52m,12h 57m
T-3 (GIORNALIERO 34H),18h,1g 1h 36m,18h 16m,17h 32m,4h 56m,6h 28m
T-4 (12H),9h,12h 48m,9h 8m,8h 46m,2h 28m,3h 14m
T-5 (6H),4h 30m,6h 24m,4h 34m,4h 23m,1h 14m,1h 37m
T-6 (3H),2h 15m,3h 12m,2h 17m,2h 11m,37m,48m
T-7 (1.5H),1h 7m,1h 36m,1h 8m,1h 5m,18m,24m
T-8 (45M),33m,48m,34m,32m,9m,12m
T-9 (22M),16m,24m,17m,16m,4m,6m
T-10 (11M),8m,12m,8m,8m,2m,3m
T-11 (5.5M),4m,6m,4m,4m,1m,1m
T-12 (2.75M),2m,3m,2m,2m,0m,0m
